state_po,office
ID,Governor
NH,Governor
OK,Senate 1
AL,Governor
TN,Governor
AZ,Governor
NV,Governor
OR,Governor
KS,Governor
WI,Governor
GA,Governor
ME,Governor
NM,Governor
HI,Governor
SD,Governor
CA,Governor
FL,Governor
MA,Governor
WI,Senate
GA,Senate
NV,Senate
NC,Senate
OH,Senate
ND,Senate
AK,Senate
ID,Senate
HI,Senate
SD,Senate
AR,Senate
MD,Senate
CT,Senate
AZ,Senate
PA,Senate
NH,Senate
FL,Senate
CO,Senate
CA,Senate
AL,Senate
NY,Senate
SC,Senate
KY,Senate
KS,Senate
OR,Senate
LA,Senate
VT,Senate
IN,Senate
IL,Senate
VT,Governor
IA,Senate
MO,Senate
WA,Senate
UT,Senate
PA,Governor
NE,Governor
WY,Governor
IA,Governor
OK,Governor
RI,Governor
NY,Governor
OH,Governor
IL,Governor
AK,Governor
MD,Governor
SC,Governor
CO,Governor
MN,Governor
TX,Governor
CT,Governor
MI,Governor
AR,Governor
OK,Senate 2
